{UAS: 0.975609756097561, LAS: 0.975609756097561}
(被 --> 废止: 9.0 adv)
(1987 --> 年: 8.0 att)
(年 --> 月: 8.0 att)
(6 --> 月: 8.0 att)
(月 --> 日: 8.0 att)
(25 --> 日: 8.0 att)
(日 --> 发布: 9.0 adv)
(国务院 --> 发布: 4.0 subj)
(发布 --> 条例: 8.0 att)
(的 --> 发布: 15.0 adjct)
(《 --> 的: 18.0 punc)
(中华人民共和国 --> 税: 8.0 att)
(建筑 --> 税: 8.0 att)
(税 --> 条例: 8.0 att)
(暂行 --> 条例: 8.0 att)
(条例 --> 被: 27.0 elbr)
(》 --> 条例: 18.0 punc)
(明令 --> 废止: 9.0 adv)
(废止 --> CLS: 0.0 root)
(。 --> 废止: 18.0 punc)
(他 --> 凭: 4.0 subj)
(似乎 --> 凭: 9.0 adv)
(凭 --> CLS: 0.0 root)
(直觉 --> 凭: 6.0 obj)
(知道 --> 凭: 2.0 sasubj)
(如何 --> 做: 9.0 adv)
(做 --> 知道: 6.0 obj)
(。 --> 做: 18.0 punc)
(还是 --> CLS: 0.0 root)
(一个 --> 字: 8.0 att)
(情 --> 字: 8.0 att)
(字 --> 还是: 6.0 obj)
(, --> 字: 18.0 punc)
(李梅 --> 演: 4.0 subj)
(演 --> 还是: 27.0 elbr)
(《 --> 演: 18.0 punc)
(留下 --> 演: 6.0 obj)
(真情 --> 留下: 6.0 obj)
(》 --> 真情: 18.0 punc)
(。 --> 真情: 18.0 punc)
(他 --> 失明: 4.0 subj)
(从 --> 失明: 9.0 adv)
(出生 --> 从: 12.0 pobj)
(就 --> 失明: 9.0 adv)
(失明 --> CLS: 0.0 root)
(了 --> 失明: 15.0 adjct)
(。 --> 了: 18.0 punc)
(在 --> 发展: 9.0 adv)
(改革 --> 中: 8.0 att)
(中 --> 在: 12.0 pobj)
(发展 --> CLS: 0.0 root)
(壮大 --> 发展: 1.0 sasubj-obj)
(公有制 --> 经济: 8.0 att)
(经济 --> 发展: 6.0 obj)
(, --> 经济: 18.0 punc)
(这 --> 是: 4.0 subj)
(是 --> 发展: 27.0 elbr)
(重要 --> 问题: 8.0 att)
(的 --> 重要: 15.0 adjct)
(方向 --> 性: 8.0 att)
(性 --> 问题: 8.0 att)
(的 --> 性: 15.0 adjct)
(问题 --> 是: 6.0 obj)
(。 --> 问题: 18.0 punc)
(说话 --> CLS: 0.0 root)
(就是 --> 表达: 9.0 adv)
(为了 --> 表达: 9.0 adv)
(表达 --> 说话: 2.0 sasubj)
(意思 --> 表达: 6.0 obj)
(, --> 意思: 18.0 punc)
(但 --> 等于: 9.0 adv)
(表达 --> 话: 8.0 att)
(了 --> 表达: 15.0 adjct)
(意思 --> 表达: 6.0 obj)
(的 --> 表达: 15.0 adjct)
(话 --> 等于: 4.0 subj)
(不 --> 等于: 9.0 adv)
(等于 --> 说话: 26.0 cont)
(都 --> 是: 9.0 adv)
(是 --> 等于: 6.0 obj)
(诗 --> 是: 6.0 obj)
(。 --> 诗: 18.0 punc)
